file,fpr,tpr_mean
calibration_long-img,0.84,0.9674520717377861
calibration_long-img,0.85,0.9706988249845392
calibration_long-img,0.86,0.9706988249845392
calibration_long-img,0.87,0.9739455782312926
calibration_long-img,0.88,0.9739455782312926
calibration_long-img,0.89,0.9739455782312926
calibration_long-img,0.9,0.9796598639455782
calibration_long-img,0.91,0.9796598639455782
calibration_long-img,0.92,0.9847619047619048
calibration_long-img,0.93,0.9900000000000001
calibration_long-img,0.9400000000000001,0.9942857142857143
calibration_long-img,0.9500000000000001,0.9942857142857143
calibration_long-img,0.96,1.0
calibration_long-img,0.97,1.0
calibration_long-img,0.98,1.0
calibration_long-img,0.99,1.0
calibration_long-img,1.0,1.0
calibration_long-svs,0.0,0.5461224489795918
calibration_long-svs,0.01,0.7039641311069883
calibration_long-svs,0.02,0.7177736549165121
calibration_long-svs,0.03,0.7540548340548341
calibration_long-svs,0.04,0.784963924963925
calibration_long-svs,0.05,0.8170707070707071
calibration_long-svs,0.06,0.8462914862914863
calibration_long-svs,0.07,0.8462914862914863
calibration_long-svs,0.08,0.8773675530818388
calibration_long-svs,0.09,0.8773675530818388
calibration_long-svs,0.1,0.8824695938981654
calibration_long-svs,0.11,0.8824695938981654
calibration_long-svs,0.12,0.8987033601319315
calibration_long-svs,0.13,0.8987033601319315
calibration_long-svs,0.14,0.8987033601319315
calibration_long-svs,0.15,0.9044176458462173
calibration_long-svs,0.16,0.9174046588332302
calibration_long-svs,0.17,0.9174046588332302
calibration_long-svs,0.18,0.9174046588332302
calibration_long-svs,0.19,0.9174046588332302
calibration_long-svs,0.2,0.9269284683570397
calibration_long-svs,0.21,0.9269284683570397
calibration_long-svs,0.22,0.9269284683570397
calibration_long-svs,0.23,0.9269284683570397
calibration_long-svs,0.24,0.9269284683570397
calibration_long-svs,0.25,0.9326427540713256
calibration_long-svs,0.26,0.9428468357039785
calibration_long-svs,0.27,0.9428468357039785
calibration_long-svs,0.28,0.9428468357039785
calibration_long-svs,0.29,0.9428468357039785
calibration_long-svs,0.3,0.9428468357039785
calibration_long-svs,0.31,0.9479488765203052
calibration_long-svs,0.32,0.9479488765203052
calibration_long-svs,0.33,0.9479488765203052
calibration_long-svs,0.34,0.9479488765203052
calibration_long-svs,0.35000000000000003,0.9479488765203052
calibration_long-svs,0.36,0.9479488765203052
calibration_long-svs,0.37,0.9479488765203052
calibration_long-svs,0.38,0.9479488765203052
calibration_long-svs,0.39,0.9479488765203052
calibration_long-svs,0.4,0.9479488765203052
calibration_long-svs,0.41000000000000003,0.9479488765203052
calibration_long-svs,0.42,0.9479488765203052
calibration_long-svs,0.43,0.9479488765203052
calibration_long-svs,0.44,0.9530509173366316
calibration_long-svs,0.45,0.9530509173366316
calibration_long-svs,0.46,0.9530509173366316
calibration_long-svs,0.47000000000000003,0.9530509173366316
calibration_long-svs,0.48,0.9530509173366316
calibration_long-svs,0.49,0.9530509173366316
calibration_long-svs,0.5,0.9530509173366316
calibration_long-svs,0.51,0.9530509173366316
calibration_long-svs,0.52,0.9530509173366316
calibration_long-svs,0.53,0.9530509173366316
calibration_long-svs,0.54,0.9660379303236447
calibration_long-svs,0.55,0.9660379303236447
calibration_long-svs,0.56,0.9660379303236447
calibration_long-svs,0.5700000000000001,0.9660379303236447
calibration_long-svs,0.58,0.9660379303236447
calibration_long-svs,0.59,0.9660379303236447
calibration_long-svs,0.6,0.9660379303236447
calibration_long-svs,0.61,0.9660379303236447
calibration_long-svs,0.62,0.9819109461966605
calibration_long-svs,0.63,0.9819109461966605
calibration_long-svs,0.64,0.9819109461966605
calibration_long-svs,0.65,0.9819109461966605
calibration_long-svs,0.66,0.9819109461966605
calibration_long-svs,0.67,0.9819109461966605
calibration_long-svs,0.68,0.9819109461966605
calibration_long-svs,0.6900000000000001,0.9819109461966605
calibration_long-svs,0.7000000000000001,0.9819109461966605
calibration_long-svs,0.71,0.9819109461966605
calibration_long-svs,0.72,0.9819109461966605
calibration_long-svs,0.73,0.9819109461966605
calibration_long-svs,0.74,0.9819109461966605
calibration_long-svs,0.75,0.9819109461966605
calibration_long-svs,0.76,0.9819109461966605
calibration_long-svs,0.77,0.9819109461966605
calibration_long-svs,0.78,0.9819109461966605
calibration_long-svs,0.79,0.9819109461966605
calibration_long-svs,0.8,0.9819109461966605
calibration_long-svs,0.81,0.9819109461966605
calibration_long-svs,0.8200000000000001,0.9819109461966605
calibration_long-svs,0.8300000000000001,0.9819109461966605
calibration_long-svs,0.84,0.9819109461966605
calibration_long-svs,0.85,0.9819109461966605
calibration_long-svs,0.86,0.9819109461966605
calibration_long-svs,0.87,0.9819109461966605
calibration_long-svs,0.88,0.9819109461966605
calibration_long-svs,0.89,0.9819109461966605
calibration_long-svs,0.9,0.9819109461966605
calibration_long-svs,0.91,0.9819109461966605
calibration_long-svs,0.92,0.9819109461966605
calibration_long-svs,0.93,0.9819109461966605
calibration_long-svs,0.9400000000000001,0.9819109461966605
calibration_long-svs,0.9500000000000001,0.9819109461966605
calibration_long-svs,0.96,0.9948979591836735
calibration_long-svs,0.97,0.9948979591836735
calibration_long-svs,0.98,0.9948979591836735
calibration_long-svs,0.99,0.9948979591836735
calibration_long-svs,1.0,1.0
calibration_long-txt-img-svs,0.0,0.8391403834260976
calibration_long-txt-img-svs,0.01,0.9227581941867656
calibration_long-txt-img-svs,0.02,0.9292517006802721
calibration_long-txt-img-svs,0.03,0.9684601113172542
calibration_long-txt-img-svs,0.04,0.9717068645640075
calibration_long-txt-img-svs,0.05,0.976808905380334
calibration_long-txt-img-svs,0.06,0.976808905380334
calibration_long-txt-img-svs,0.07,0.976808905380334
calibration_long-txt-img-svs,0.08,0.976808905380334
calibration_long-txt-img-svs,0.09,0.976808905380334
calibration_long-txt-img-svs,0.1,0.976808905380334
calibration_long-txt-img-svs,0.11,0.9819109461966605
calibration_long-txt-img-svs,0.12,0.9819109461966605
calibration_long-txt-img-svs,0.13,0.9948979591836735
calibration_long-txt-img-svs,0.14,1.0
calibration_long-txt-img-svs,0.15,1.0
calibration_long-txt-img-svs,0.16,1.0
calibration_long-txt-img-svs,0.17,1.0
calibration_long-txt-img-svs,0.18,1.0
calibration_long-txt-img-svs,0.19,1.0
calibration_long-txt-img-svs,0.2,1.0
calibration_long-txt-img-svs,0.21,1.0
calibration_long-txt-img-svs,0.22,1.0
calibration_long-txt-img-svs,0.23,1.0
calibration_long-txt-img-svs,0.24,1.0
calibration_long-txt-img-svs,0.25,1.0
calibration_long-txt-img-svs,0.26,1.0
calibration_long-txt-img-svs,0.27,1.0
calibration_long-txt-img-svs,0.28,1.0
calibration_long-txt-img-svs,0.29,1.0
calibration_long-txt-img-svs,0.3,1.0
calibration_long-txt-img-svs,0.31,1.0
calibration_long-txt-img-svs,0.32,1.0
calibration_long-txt-img-svs,0.33,1.0
calibration_long-txt-img-svs,0.34,1.0
calibration_long-txt-img-svs,0.35000000000000003,1.0
calibration_long-txt-img-svs,0.36,1.0
calibration_long-txt-img-svs,0.37,1.0
calibration_long-txt-img-svs,0.38,1.0
calibration_long-txt-img-svs,0.39,1.0
calibration_long-txt-img-svs,0.4,1.0
calibration_long-txt-img-svs,0.41000000000000003,1.0
calibration_long-txt-img-svs,0.42,1.0
calibration_long-txt-img-svs,0.43,1.0
calibration_long-txt-img-svs,0.44,1.0
calibration_long-txt-img-svs,0.45,1.0
calibration_long-txt-img-svs,0.46,1.0
calibration_long-txt-img-svs,0.47000000000000003,1.0
calibration_long-txt-img-svs,0.48,1.0
calibration_long-txt-img-svs,0.49,1.0
calibration_long-txt-img-svs,0.5,1.0
calibration_long-txt-img-svs,0.51,1.0
calibration_long-txt-img-svs,0.52,1.0
calibration_long-txt-img-svs,0.53,1.0
calibration_long-txt-img-svs,0.54,1.0
calibration_long-txt-img-svs,0.55,1.0
calibration_long-txt-img-svs,0.56,1.0
calibration_long-txt-img-svs,0.5700000000000001,1.0
calibration_long-txt-img-svs,0.58,1.0
calibration_long-txt-img-svs,0.59,1.0
calibration_long-txt-img-svs,0.6,1.0
calibration_long-txt-img-svs,0.61,1.0
calibration_long-txt-img-svs,0.62,1.0
calibration_long-txt-img-svs,0.63,1.0
calibration_long-txt-img-svs,0.64,1.0
calibration_long-txt-img-svs,0.65,1.0
calibration_long-txt-img-svs,0.66,1.0
calibration_long-txt-img-svs,0.67,1.0
calibration_long-txt-img-svs,0.68,1.0
calibration_long-txt-img-svs,0.6900000000000001,1.0
calibration_long-txt-img-svs,0.7000000000000001,1.0
calibration_long-txt-img-svs,0.71,1.0
calibration_long-txt-img-svs,0.72,1.0
calibration_long-txt-img-svs,0.73,1.0
calibration_long-txt-img-svs,0.74,1.0
calibration_long-txt-img-svs,0.75,1.0
calibration_long-txt-img-svs,0.76,1.0
calibration_long-txt-img-svs,0.77,1.0
calibration_long-txt-img-svs,0.78,1.0
calibration_long-txt-img-svs,0.79,1.0
calibration_long-txt-img-svs,0.8,1.0
calibration_long-txt-img-svs,0.81,1.0
calibration_long-txt-img-svs,0.8200000000000001,1.0
calibration_long-txt-img-svs,0.8300000000000001,1.0
calibration_long-txt-img-svs,0.84,1.0
calibration_long-txt-img-svs,0.85,1.0
calibration_long-txt-img-svs,0.86,1.0
calibration_long-txt-img-svs,0.87,1.0
calibration_long-txt-img-svs,0.88,1.0
calibration_long-txt-img-svs,0.89,1.0
calibration_long-txt-img-svs,0.9,1.0
calibration_long-txt-img-svs,0.91,1.0
calibration_long-txt-img-svs,0.92,1.0
calibration_long-txt-img-svs,0.93,1.0
calibration_long-txt-img-svs,0.9400000000000001,1.0
calibration_long-txt-img-svs,0.9500000000000001,1.0
calibration_long-txt-img-svs,0.96,1.0
calibration_long-txt-img-svs,0.97,1.0
calibration_long-txt-img-svs,0.98,1.0
calibration_long-txt-img-svs,0.99,1.0
calibration_long-txt-img-svs,1.0,1.0
calibration_long-txt-img,0.0,0.5187775716347145
calibration_long-txt-img,0.01,0.7290826633683777
calibration_long-txt-img,0.02,0.8232756132756133
calibration_long-txt-img,0.03,0.8893465264893836
calibration_long-txt-img,0.04,0.901554318697176
calibration_long-txt-img,0.05,0.9177880849309421
calibration_long-txt-img,0.06,0.9431849103277674
calibration_long-txt-img,0.07,0.9464316635745208
calibration_long-txt-img,0.08,0.9464316635745208
calibration_long-txt-img,0.09,0.949678416821274
calibration_long-txt-img,0.1,0.9592022263450835
calibration_long-txt-img,0.11,0.9649165120593691
calibration_long-txt-img,0.12,0.9706307977736549
calibration_long-txt-img,0.13,0.9706307977736549
calibration_long-txt-img,0.14,0.9706307977736549
calibration_long-txt-img,0.15,0.9757328385899814
calibration_long-txt-img,0.16,0.9757328385899814
calibration_long-txt-img,0.17,0.9865491651205937
calibration_long-txt-img,0.18,0.9865491651205937
calibration_long-txt-img,0.19,0.9916512059369202
calibration_long-txt-img,0.2,0.9916512059369202
calibration_long-txt-img,0.21,0.9916512059369202
calibration_long-txt-img,0.22,0.9948979591836735
calibration_long-txt-img,0.23,0.9948979591836735
calibration_long-txt-img,0.24,0.9948979591836735
calibration_long-txt-img,0.25,0.9948979591836735
calibration_long-txt-img,0.26,0.9948979591836735
calibration_long-txt-img,0.27,0.9948979591836735
calibration_long-txt-img,0.28,0.9948979591836735
calibration_long-txt-img,0.29,0.9948979591836735
calibration_long-txt-img,0.3,0.9948979591836735
calibration_long-txt-img,0.31,0.9948979591836735
calibration_long-txt-img,0.32,0.9948979591836735
calibration_long-txt-img,0.33,0.9948979591836735
calibration_long-txt-img,0.34,0.9948979591836735
calibration_long-txt-img,0.35000000000000003,0.9948979591836735
calibration_long-txt-img,0.36,0.9948979591836735
calibration_long-txt-img,0.37,0.9948979591836735
calibration_long-txt-img,0.38,0.9948979591836735
calibration_long-txt-img,0.39,0.9948979591836735
calibration_long-txt-img,0.4,0.9948979591836735
calibration_long-txt-img,0.41000000000000003,0.9948979591836735
calibration_long-txt-img,0.42,0.9948979591836735
calibration_long-txt-img,0.43,0.9948979591836735
calibration_long-txt-img,0.44,0.9948979591836735
calibration_long-txt-img,0.45,1.0
calibration_long-txt-img,0.46,1.0
calibration_long-txt-img,0.47000000000000003,1.0
calibration_long-txt-img,0.48,1.0
calibration_long-txt-img,0.49,1.0
calibration_long-txt-img,0.5,1.0
calibration_long-txt-img,0.51,1.0
calibration_long-txt-img,0.52,1.0
calibration_long-txt-img,0.53,1.0
calibration_long-txt-img,0.54,1.0
calibration_long-txt-img,0.55,1.0
calibration_long-txt-img,0.56,1.0
calibration_long-txt-img,0.5700000000000001,1.0
calibration_long-txt-img,0.58,1.0
calibration_long-txt-img,0.59,1.0
calibration_long-txt-img,0.6,1.0
calibration_long-txt-img,0.61,1.0
calibration_long-txt-img,0.62,1.0
calibration_long-txt-img,0.63,1.0
calibration_long-txt-img,0.64,1.0
calibration_long-txt-img,0.65,1.0
calibration_long-txt-img,0.66,1.0
calibration_long-txt-img,0.67,1.0
calibration_long-txt-img,0.68,1.0
calibration_long-txt-img,0.6900000000000001,1.0
calibration_long-txt-img,0.7000000000000001,1.0
calibration_long-txt-img,0.71,1.0
calibration_long-txt-img,0.72,1.0
calibration_long-txt-img,0.73,1.0
calibration_long-txt-img,0.74,1.0
calibration_long-txt-img,0.75,1.0
calibration_long-txt-img,0.76,1.0
calibration_long-txt-img,0.77,1.0
calibration_long-txt-img,0.78,1.0
calibration_long-txt-img,0.79,1.0
calibration_long-txt-img,0.8,1.0
calibration_long-txt-img,0.81,1.0
calibration_long-txt-img,0.8200000000000001,1.0
calibration_long-txt-img,0.8300000000000001,1.0
calibration_long-txt-img,0.84,1.0
calibration_long-txt-img,0.85,1.0
calibration_long-txt-img,0.86,1.0
calibration_long-txt-img,0.87,1.0
calibration_long-txt-img,0.88,1.0
calibration_long-txt-img,0.89,1.0
calibration_long-txt-img,0.9,1.0
calibration_long-txt-img,0.91,1.0
calibration_long-txt-img,0.92,1.0
calibration_long-txt-img,0.93,1.0
calibration_long-txt-img,0.9400000000000001,1.0
calibration_long-txt-img,0.9500000000000001,1.0
calibration_long-txt-img,0.96,1.0
calibration_long-txt-img,0.97,1.0
calibration_long-txt-img,0.98,1.0
calibration_long-txt-img,0.99,1.0
calibration_long-txt-img,1.0,1.0
calibration_long-txt-only,0.0,0.5661698618841476
calibration_long-txt-only,0.01,0.6983673469387756
calibration_long-txt-only,0.02,0.7821521335807049
calibration_long-txt-only,0.03,0.8031725417439703
calibration_long-txt-only,0.04,0.8200927643784787
calibration_long-txt-only,0.05,0.8405009276437848
calibration_long-txt-only,0.06,0.8590538033395176
calibration_long-txt-only,0.07,0.8647680890538033
calibration_long-txt-only,0.08,0.8731168831168832
calibration_long-txt-only,0.09,0.8782189239332095
calibration_long-txt-only,0.1,0.8986270871985157
calibration_long-txt-only,0.11,0.9308781694495981
calibration_long-txt-only,0.12,0.9398392084106371
calibration_long-txt-only,0.13,0.9528262213976502
calibration_long-txt-only,0.14,0.9528262213976502
calibration_long-txt-only,0.15,0.9655967841682127
calibration_long-txt-only,0.16,0.9655967841682127
calibration_long-txt-only,0.17,0.9713110698824986
calibration_long-txt-only,0.18,0.9713110698824986
calibration_long-txt-only,0.19,0.9713110698824986
calibration_long-txt-only,0.2,0.9713110698824986
calibration_long-txt-only,0.21,0.9713110698824986
calibration_long-txt-only,0.22,0.9713110698824986
calibration_long-txt-only,0.23,0.9713110698824986
